Type,Country,Quantity (kg),Value (US$),Year
Vinhos de mesa,Alemanha,34606.0,26027.0,1971
Vinhos de mesa,Argélia,,,1971
Vinhos de mesa,Arábia Saudita,,,1971
Vinhos de mesa,Argentina,24942.0,15022.0,1971
Vinhos de mesa,Armênia,,,1971
Vinhos de mesa,Austrália,,,1971
Vinhos de mesa,Áustria,,,1971
Vinhos de mesa,Bermudas,,,1971
Vinhos de mesa,Bélgica,,,1971
Vinhos de mesa,Bolívia,,,1971
Vinhos de mesa,Bósnia-Herzegovina,,,1971
Vinhos de mesa,Brasil,,,1971
Vinhos de mesa,Bulgária,,,1971
Vinhos de mesa,Canada,,,1971
Vinhos de mesa,Chile,74406.0,52240.0,1971
Vinhos de mesa,China,,,1971
Vinhos de mesa,"Coreia do Sul, República",,,1971
Vinhos de mesa,Croácia,,,1971
Vinhos de mesa,Cuba,,,1971
Vinhos de mesa,Emirados Árabes Unidos,,,1971
Vinhos de mesa,Eslovênia,,,1971
Vinhos de mesa,Eslováquia,,,1971
Vinhos de mesa,Espanha,140507.0,50191.0,1971
Vinhos de mesa,Estados Unidos,915.0,190.0,1971
Vinhos de mesa,França,88714.0,72978.0,1971
Vinhos de mesa,Geórgia,,,1971
Vinhos de mesa,"Geórgia do Sul e Sandwich do Sul, Ilhas",,,1971
Vinhos de mesa,Grécia,,,1971
Vinhos de mesa,Hong Kong,,,1971
Vinhos de mesa,Hungria,,,1971
Vinhos de mesa,Indonésia,,,1971
Vinhos de mesa,Irlanda,,,1971
Vinhos de mesa,Israel,,,1971
Vinhos de mesa,Itália,108409.0,56377.0,1971
Vinhos de mesa,Japão,,,1971
Vinhos de mesa,Iugoslávia,640.0,375.0,1971
Vinhos de mesa,Líbano,,,1971
Vinhos de mesa,Luxemburgo,,,1971
Vinhos de mesa,Macedônia,,,1971
Vinhos de mesa,Marrocos,,,1971
Vinhos de mesa,México,,,1971
Vinhos de mesa,Moldávia,,,1971
Vinhos de mesa,Montenegro,,,1971
Vinhos de mesa,Noruega,,,1971
Vinhos de mesa,Nova Zelândia,,,1971
Vinhos de mesa,Países Baixos (Holanda),,,1971
Vinhos de mesa,Panamá,,,1971
Vinhos de mesa,Paraguai,,,1971
Vinhos de mesa,Peru,,,1971
Vinhos de mesa,Porto Rico,,,1971
Vinhos de mesa,Portugal,897310.0,620790.0,1971
Vinhos de mesa,Reino Unido,,,1971
Vinhos de mesa,Republica Dominicana,,,1971
Vinhos de mesa,Romênia,,,1971
Vinhos de mesa,Rússia,,,1971
Vinhos de mesa,San Marino,,,1971
Vinhos de mesa,Sérvia,,,1971
Vinhos de mesa,Síria,,,1971
Vinhos de mesa,Suazilândia,,,1971
Vinhos de mesa,Suíça,,,1971
Vinhos de mesa,"Tcheca, República",,,1971
Vinhos de mesa,Tunísia,,,1971
Vinhos de mesa,Turquia,,,1971
Vinhos de mesa,Ucrânia,,,1971
Vinhos de mesa,Uruguai,1917.0,636.0,1971
Vinhos de mesa,Não consta na tabela,,,1971
Vinhos de mesa,Não declarados,,,1971
Vinhos de mesa,Outros,77789.0,42028.0,1971
Espumantes,Africa do Sul,,,1971
Espumantes,Alemanha,25.0,36.0,1971
